"cleaning_chk_det_uuid","cleaning_uuid","cleaning_checklist_uuid","detail_uuid","answer","note","created_by","created_date","modified_by","modified_date","attachment","optional"
"d629c0c5-d7dd-4945-a2ff-5e629dbf220e","8babc499-05e8-4752-a227-87ea21f61ee4","de407774-4200-4dd8-b247-d6bb82743ae1","ad5b610e-b509-4098-9986-1d9b75260df1",NULL,NULL,"d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00","d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00",NULL,False
"440578ff-9869-4ebf-9af9-477cf71c4e4e","8babc499-05e8-4752-a227-87ea21f61ee4","de407774-4200-4dd8-b247-d6bb82743ae1","25f418c7-663e-4f8b-af81-6eb9e17c54c0",NULL,NULL,"d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00","d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00",NULL,False
"a02b4137-7fed-49d3-bc43-c4542dcb4dbd","8babc499-05e8-4752-a227-87ea21f61ee4","de407774-4200-4dd8-b247-d6bb82743ae1","47706ae9-fb1d-451e-8f68-3d9a12c0b71f",NULL,NULL,"d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00","d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00",NULL,False
"76f4a0ec-1060-4ace-bca0-7dc57197b2a6","8babc499-05e8-4752-a227-87ea21f61ee4","de407774-4200-4dd8-b247-d6bb82743ae1","9b4cc86c-3f5d-47c8-89ad-08d6cfaa711a",NULL,NULL,"d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00","d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00",NULL,False
"6f1b8b74-5a9b-4efc-a27b-3c329b80b343","8babc499-05e8-4752-a227-87ea21f61ee4","de407774-4200-4dd8-b247-d6bb82743ae1","2f5a9227-9729-441e-9aaf-42d7f1c4193c",NULL,NULL,"d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00","d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00",NULL,False
"e45ce42a-c700-46db-ad52-d84e5344d8fc","8babc499-05e8-4752-a227-87ea21f61ee4","de407774-4200-4dd8-b247-d6bb82743ae1","a63331c5-1e2b-4cef-a0c4-1d84d509c4d2",NULL,NULL,"d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00","d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00",NULL,False
"4d055cd2-afe0-4b06-ba9f-fbe43f4ce15d","8babc499-05e8-4752-a227-87ea21f61ee4","de407774-4200-4dd8-b247-d6bb82743ae1","882b5564-b0a2-4abd-829c-48c581c8ab50",NULL,NULL,"d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00","d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00",NULL,False
"d52e7ebb-6584-41ed-b99a-ec88782bd2e5","8babc499-05e8-4752-a227-87ea21f61ee4","de407774-4200-4dd8-b247-d6bb82743ae1","cbf41e16-b0c7-48be-9553-91223e61854c",NULL,NULL,"d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00","d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00",NULL,False
"7cf7cb32-448b-4c0f-a57e-3d7e66c81730","8babc499-05e8-4752-a227-87ea21f61ee4","de407774-4200-4dd8-b247-d6bb82743ae1","0be7a77a-c6f5-4c89-831c-94b66542c22a",NULL,NULL,"d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00","d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00",NULL,False
"641b483f-cf7d-4156-9879-0baaa1099ca4","8babc499-05e8-4752-a227-87ea21f61ee4","de407774-4200-4dd8-b247-d6bb82743ae1","64fb706b-5012-4b21-bcfa-208131d5db37",NULL,NULL,"d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00","d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00",NULL,False
"051a17c0-479b-45fc-a5d9-67441e1b30d7","8babc499-05e8-4752-a227-87ea21f61ee4","de407774-4200-4dd8-b247-d6bb82743ae1","4dc20667-5904-4116-91cd-b404e5ea126c",NULL,NULL,"d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00","d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00",NULL,False
"659fcf0d-e3be-4434-9f67-e6a9317b6404","8babc499-05e8-4752-a227-87ea21f61ee4","de407774-4200-4dd8-b247-d6bb82743ae1","60a303e6-433d-4e86-9f55-4dc0badd4c55",NULL,NULL,"d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00","d63096a0-6fff-4fea-a6f0-7669d0a4a714","2025-01-23 06:42:29.241769+00",NULL,False
