"inspection_uuid","cleaning_uuid","inspection_by","inspection_result","remarks","rating","completed_by","completed_date","created_by","created_date","modified_by","modified_date","deleted","deleted_by","deleted_date","start_time","time_spent","comment","time_spent_second"
"c56be976-cfda-4ec9-90a2-d34d0689b9be","f0ff884c-43b4-4c8f-8493-e67e86331f1f","286b01b3-0f42-478c-8be2-2ee41269f60d",1,NULL,0,"286b01b3-0f42-478c-8be2-2ee41269f60d","2025-01-05 01:21:11.628066+00","286b01b3-0f42-478c-8be2-2ee41269f60d","2025-01-05 01:21:06.129769+00","286b01b3-0f42-478c-8be2-2ee41269f60d","2025-01-05 01:21:11.628066+00",NULL,NULL,NULL,NULL,0,NULL,1
"a8165fcc-35fa-492b-bb1b-4dd3e0147bbb","aca21a0e-72ae-40fc-adbb-c9a12b199197","286b01b3-0f42-478c-8be2-2ee41269f60d",1,NULL,0,"286b01b3-0f42-478c-8be2-2ee41269f60d","2025-01-05 01:41:08.713111+00","286b01b3-0f42-478c-8be2-2ee41269f60d","2025-01-05 01:40:54.490061+00","286b01b3-0f42-478c-8be2-2ee41269f60d","2025-01-05 01:41:08.713111+00",NULL,NULL,NULL,NULL,0,NULL,5
"82a8ecdf-08c9-47ed-865a-ae2b769fbd31","370fff3f-2803-4b35-a926-27273012b4e6","286b01b3-0f42-478c-8be2-2ee41269f60d",1,NULL,0,"286b01b3-0f42-478c-8be2-2ee41269f60d","2025-01-05 01:58:08.839011+00","286b01b3-0f42-478c-8be2-2ee41269f60d","2025-01-05 01:58:00.706688+00","286b01b3-0f42-478c-8be2-2ee41269f60d","2025-01-05 01:58:08.839011+00",NULL,NULL,NULL,NULL,0,NULL,2
"8789f1bb-4a5a-4426-86c6-7aea81d2fdc8","a8c0c235-4dcb-4963-86e6-b20847a6d14a","286b01b3-0f42-478c-8be2-2ee41269f60d",1,NULL,0,NULL,NULL,"286b01b3-0f42-478c-8be2-2ee41269f60d","2025-01-05 02:01:41.27374+00","286b01b3-0f42-478c-8be2-2ee41269f60d","2025-01-05 02:01:41.27374+00",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"cbd1059a-abfc-43cd-ba36-a55c353a5551","a8c0c235-4dcb-4963-86e6-b20847a6d14a","286b01b3-0f42-478c-8be2-2ee41269f60d",1,NULL,0,"286b01b3-0f42-478c-8be2-2ee41269f60d","2025-01-05 02:01:45.539824+00","286b01b3-0f42-478c-8be2-2ee41269f60d","2025-01-05 02:01:39.193938+00","286b01b3-0f42-478c-8be2-2ee41269f60d","2025-01-05 02:01:45.539824+00",NULL,NULL,NULL,NULL,0,NULL,2
"9ece93fb-924d-4c76-821a-05c7794cc904","be48f9ab-dfc9-44b5-8fbd-c7dfbee60549","286b01b3-0f42-478c-8be2-2ee41269f60d",1,NULL,0,"286b01b3-0f42-478c-8be2-2ee41269f60d","2025-01-05 02:17:34.99701+00","286b01b3-0f42-478c-8be2-2ee41269f60d","2025-01-05 02:17:23.806681+00","286b01b3-0f42-478c-8be2-2ee41269f60d","2025-01-05 02:17:34.99701+00",NULL,NULL,NULL,NULL,0,NULL,2
"8a7fcba1-2637-4c3f-8686-9ab58a6c5475","be52b104-2e2f-4f0d-a4b9-1bb3e8bc999e","286b01b3-0f42-478c-8be2-2ee41269f60d",1,NULL,0,NULL,NULL,"286b01b3-0f42-478c-8be2-2ee41269f60d","2025-01-05 02:36:31.262039+00","286b01b3-0f42-478c-8be2-2ee41269f60d","2025-01-05 02:36:31.262039+00",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"e6d3b783-282e-4676-8099-29d42cb39ee5","dfa1f43f-13ff-4201-86c7-c9b30e7ea3f9","512a37c9-78d6-4957-8114-45fcb7454b48",1,NULL,0,"512a37c9-78d6-4957-8114-45fcb7454b48","2025-01-07 02:26:50.727151+00","512a37c9-78d6-4957-8114-45fcb7454b48","2025-01-07 02:26:40.364246+00","512a37c9-78d6-4957-8114-45fcb7454b48","2025-01-07 02:26:50.727151+00",NULL,NULL,NULL,NULL,0,NULL,5
"45d429e4-72c0-4eb5-bce3-83576d81ab14","6087b36c-b69b-49b2-b89f-7b3e99bed86e","286b01b3-0f42-478c-8be2-2ee41269f60d",1,NULL,0,NULL,NULL,"286b01b3-0f42-478c-8be2-2ee41269f60d","2025-01-07 08:00:12.965958+00","286b01b3-0f42-478c-8be2-2ee41269f60d","2025-01-07 08:00:12.965958+00",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"ef58039e-93f9-4d8d-b130-d13f8e0a0d90","6087b36c-b69b-49b2-b89f-7b3e99bed86e","512a37c9-78d6-4957-8114-45fcb7454b48",1,NULL,0,NULL,NULL,"512a37c9-78d6-4957-8114-45fcb7454b48","2025-01-07 08:00:14.287632+00","512a37c9-78d6-4957-8114-45fcb7454b48","2025-01-07 08:00:14.287632+00",NULL,NULL,NULL,NULL,NULL,NULL,NULL
