"category_uuid","property_uuid","category_name","category_code","credit_base","credit","duration","inspection_credit","inspection_duration","credit2","duration2","inspection_credit2","inspection_duration2","rounds","active","created_date","created_by","modified_date","modified_by","deleted","deleted_date","deleted_by","location_category_uuid","location_type"
"b34f5b39-73d4-4b74-bc02-55788a24dd9c","4498c15d-50c5-4cf5-879a-dd5d674e7228",NULL,"BKE",NULL,"1.0",50,"0",10,"1.0",50,"0",10,0,True,"2022-08-26 09:57:11.995333+00","e9417d40-4119-4720-9986-a9f962fa198e","2022-08-26 09:57:11.995333+00","e9417d40-4119-4720-9986-a9f962fa198e",NULL,NULL,NULL,"17c1be44-c6a4-4a68-8150-00586e58c24d",2
"546a7e90-9aa1-4a39-8c6d-40cfb3e9cc8d","4498c15d-50c5-4cf5-879a-dd5d674e7228",NULL,"BTE",NULL,"1.0",50,"0",10,"1.0",50,"0",10,0,True,"2022-08-26 09:58:04.465371+00","e9417d40-4119-4720-9986-a9f962fa198e","2022-08-26 09:58:04.465371+00","e9417d40-4119-4720-9986-a9f962fa198e",NULL,NULL,NULL,"2162119b-74b4-471d-b4a1-b8c0ad5ba0f5",2
"4ce28046-7031-4d86-b8fb-0536f001ddca","4498c15d-50c5-4cf5-879a-dd5d674e7228",NULL,"DKS",NULL,"1.0",30,"0",10,"1.0",30,"0",10,0,True,"2022-08-26 09:58:52.631407+00","e9417d40-4119-4720-9986-a9f962fa198e","2022-08-26 09:58:52.631407+00","e9417d40-4119-4720-9986-a9f962fa198e",NULL,NULL,NULL,"f8af03d3-068b-4f30-bc45-5f48014f252a",2
"a507c4a9-8d63-40e3-aa22-6fee791dfc86","4498c15d-50c5-4cf5-879a-dd5d674e7228",NULL,"DTS",NULL,"1.0",30,"0",10,"1.0",30,"0",10,0,True,"2022-08-26 09:59:25.775336+00","e9417d40-4119-4720-9986-a9f962fa198e","2022-08-26 09:59:25.775336+00","e9417d40-4119-4720-9986-a9f962fa198e",NULL,NULL,NULL,"fdf12135-7bc3-461d-8c49-950d74c4cf14",2
"01c790ca-c9d7-47f4-a363-504d6dca456a","4498c15d-50c5-4cf5-879a-dd5d674e7228",NULL,"PKN",NULL,"1.0",30,"0",10,"1.0",30,"0",10,0,True,"2022-08-26 10:00:21.166031+00","e9417d40-4119-4720-9986-a9f962fa198e","2022-08-26 10:00:21.166031+00","e9417d40-4119-4720-9986-a9f962fa198e",NULL,NULL,NULL,"0dcc4603-7338-4023-b98b-e3a128c0a255",2
"943ff062-c7d0-4270-8766-e8f8933bdf82","4498c15d-50c5-4cf5-879a-dd5d674e7228",NULL,"PTN",NULL,"1.0",30,"0",10,"1.0",30,"0",10,0,True,"2022-08-26 10:00:55.566507+00","e9417d40-4119-4720-9986-a9f962fa198e","2022-08-26 10:00:55.566507+00","e9417d40-4119-4720-9986-a9f962fa198e",NULL,NULL,NULL,"49c1556f-0d2c-428d-bbef-44777392ebea",2
"1f4cd60d-049b-452e-a463-4e7cd101215d","4498c15d-50c5-4cf5-879a-dd5d674e7228",NULL,"SKE",NULL,"2.0",40,"0",10,"2.0",40,"0",10,0,True,"2022-08-26 10:01:55.143309+00","e9417d40-4119-4720-9986-a9f962fa198e","2022-08-26 10:01:55.143309+00","e9417d40-4119-4720-9986-a9f962fa198e",NULL,NULL,NULL,"023e120f-8449-4c25-b457-18a60c742143",2
"5acaf9b0-cab6-4725-9bba-f5d9cf1e437b","4498c15d-50c5-4cf5-879a-dd5d674e7228",NULL,"ZKE",NULL,"3.0",60,"0",10,"3.0",60,"0",10,0,True,"2022-08-26 10:03:26.375361+00","e9417d40-4119-4720-9986-a9f962fa198e","2022-08-26 10:03:26.375361+00","e9417d40-4119-4720-9986-a9f962fa198e",NULL,NULL,NULL,"956bb9e8-fd74-412e-9b1b-61976336db53",2
"80cafb50-3d74-41d1-9a0e-fe51d4e1786d","2e76cf52-1334-4f22-9653-60b003b227b2",NULL,"STD",NULL,"3.0",30,"1.0",10,"2.0",20,"0.0",5,0,True,"2022-02-16 07:51:48.448997+00","80300926-d848-46ca-a7ba-7c9d17c9f382","2022-02-16 07:51:48.448997+00","80300926-d848-46ca-a7ba-7c9d17c9f382",True,"2022-08-26 10:18:26.432327+00","e9417d40-4119-4720-9986-a9f962fa198e","aecbbf84-905b-42aa-8ccb-2711f02abc88",2
"e12b8010-3f01-4fa1-87e3-e57c53a28f0a","2e76cf52-1334-4f22-9653-60b003b227b2",NULL,"DLX",NULL,"2.5",25,"1.0",10,"1.5",15,"1.0",10,0,True,"2022-02-16 07:50:50.791354+00","80300926-d848-46ca-a7ba-7c9d17c9f382","2022-02-16 07:50:50.791354+00","80300926-d848-46ca-a7ba-7c9d17c9f382",True,"2022-08-26 10:18:28.817096+00","e9417d40-4119-4720-9986-a9f962fa198e","50cf03e0-f00a-4f8a-a152-0ba743bb8f5c",2
"fc544d04-c72f-4c2a-a180-5503d730b9f9","2e76cf52-1334-4f22-9653-60b003b227b2",NULL,"CYH",NULL,"1.0",30,"0",10,"1.0",30,"0",10,0,True,"2022-08-29 02:04:48.49777+00","e9417d40-4119-4720-9986-a9f962fa198e","2022-08-29 02:04:48.49777+00","e9417d40-4119-4720-9986-a9f962fa198e",True,"2024-08-15 17:06:32.047314+00","7bdb9190-2fa7-48cb-9f13-58c789d7e64a","e11bdee1-a37b-4562-a446-307eae260359",2
"7fb8814d-d92b-4857-9737-c1f437d5cdb9","4498c15d-50c5-4cf5-879a-dd5d674e7228",NULL,"VKE",NULL,"1.0",30,"0",10,"1.0",30,"0",10,0,True,"2022-08-26 10:02:36.075337+00","e9417d40-4119-4720-9986-a9f962fa198e","2023-04-26 05:28:45.34823+00","347db413-e572-4a20-8c3e-47a0f1dc2264",NULL,NULL,NULL,"ebc7e07b-40c0-4af6-8d5c-98ee358f0ae3",2
"99d58e94-918c-40ce-b32f-6d02a012d839","2e76cf52-1334-4f22-9653-60b003b227b2",NULL,"CYK",NULL,"1.0",30,"0",10,"1.0",30,"0",10,0,True,"2022-08-29 02:06:23.062287+00","e9417d40-4119-4720-9986-a9f962fa198e","2022-08-29 02:06:23.062287+00","e9417d40-4119-4720-9986-a9f962fa198e",True,"2024-08-15 17:06:54.537334+00","7bdb9190-2fa7-48cb-9f13-58c789d7e64a","197319af-6ae4-4094-ab08-1095002e67df",2
"4fadf5a2-3637-492b-9964-c0d4461ed6ac","2e76cf52-1334-4f22-9653-60b003b227b2",NULL,"QYT",NULL,"1.0",40,"0",10,"1.0",40,"0",10,0,True,"2022-08-29 02:58:56.614746+00","e9417d40-4119-4720-9986-a9f962fa198e","2024-09-04 05:29:08.205592+00","7bdb9190-2fa7-48cb-9f13-58c789d7e64a",NULL,NULL,NULL,"0987ccbd-8731-4ab3-b945-f213bea46202",2
"c0286d14-1032-49e3-9bd4-fa8a56612e34","2e76cf52-1334-4f22-9653-60b003b227b2",NULL,"MSK",NULL,"1.0",30,"0",10,"1.0",30,"0",10,0,True,"2022-08-29 02:17:33.428106+00","e9417d40-4119-4720-9986-a9f962fa198e","2024-08-15 17:08:32.0329+00","7bdb9190-2fa7-48cb-9f13-58c789d7e64a",True,"2024-08-15 17:08:38.704361+00","7bdb9190-2fa7-48cb-9f13-58c789d7e64a","f932ea3f-99e6-4672-a5bb-5d91b09b8f3f",2
"dae9f4a4-c426-4301-ba1e-9928fc884296","2e76cf52-1334-4f22-9653-60b003b227b2",NULL,"HRT",NULL,"1.0",40,"0",10,"1.0",40,"0",10,0,True,"2022-08-29 02:16:33.764699+00","e9417d40-4119-4720-9986-a9f962fa198e","2024-09-04 05:27:16.400107+00","7bdb9190-2fa7-48cb-9f13-58c789d7e64a",NULL,NULL,NULL,"d3145190-4504-48e7-a97d-5054237a7e50",2
"fd2b5720-5117-4935-b5b5-e85e8d345722","2e76cf52-1334-4f22-9653-60b003b227b2",NULL,"SQYT",NULL,"1.0",40,"0",10,"1.0",40,"0",10,0,True,"2022-08-29 03:02:01.828252+00","e9417d40-4119-4720-9986-a9f962fa198e","2024-09-04 05:31:50.591242+00","7bdb9190-2fa7-48cb-9f13-58c789d7e64a",NULL,NULL,NULL,"26cf8e7b-9848-4955-a4ca-a2de5a3f4791",2
"008d1571-9209-443b-8f49-2bf0836a4c72","2e76cf52-1334-4f22-9653-60b003b227b2",NULL,"SYSK",NULL,"1.5",60,"0",10,"1.5",60,"0",10,0,True,"2022-08-29 03:02:53.383114+00","e9417d40-4119-4720-9986-a9f962fa198e","2024-09-04 05:32:04.43421+00","7bdb9190-2fa7-48cb-9f13-58c789d7e64a",NULL,NULL,NULL,"c57eca26-163d-4f53-84ec-49b2c2f580ff",2
"3a91cf9e-1a4d-4e45-b9e2-99f2745370ef","2e76cf52-1334-4f22-9653-60b003b227b2",NULL,"PEPT",NULL,"1.0",40,"0",10,"1.0",40,"0",10,0,True,"2022-08-29 02:09:32.216507+00","e9417d40-4119-4720-9986-a9f962fa198e","2024-09-04 05:28:09.764471+00","7bdb9190-2fa7-48cb-9f13-58c789d7e64a",NULL,NULL,NULL,"4177cdcd-08ca-4db0-b039-dd0f6ae6dff4",2
"f3a7e000-c3bc-4c50-bc9e-bd053a6e4dee","2e76cf52-1334-4f22-9653-60b003b227b2",NULL,"PYSK",NULL,"1.5",60,"0",10,"1.5",60,"0",10,0,True,"2022-08-29 03:03:32.195799+00","e9417d40-4119-4720-9986-a9f962fa198e","2024-09-04 05:28:42.697634+00","7bdb9190-2fa7-48cb-9f13-58c789d7e64a",NULL,NULL,NULL,"b4c4d676-39cb-4fd8-ab61-00722c9bec5b",2
"aeba49d9-cefe-4f6f-9b16-45b4183f245c","2e76cf52-1334-4f22-9653-60b003b227b2",NULL,"SHRK",NULL,"1.0",40,"0",10,"1.0",40,"0",10,0,True,"2022-08-29 03:00:07.03621+00","e9417d40-4119-4720-9986-a9f962fa198e","2024-09-04 05:29:17.755874+00","7bdb9190-2fa7-48cb-9f13-58c789d7e64a",NULL,NULL,NULL,"3f15c345-2ab4-4e4d-a97b-4380c1e94528",2
