"type_uuid","property_uuid","type_name","type_desc","type_code","duration","credit","inspection","inspection_duration","inspection_credit","priority","erequest","active","created_date","created_by","modified_date","modified_by","deleted","deleted_date","deleted_by","attachment","use_staystatus_credit","update_room_status","use_location_category_credit"
"b6fa625c-04db-4e8b-bc6d-e8b50d46d971","2e76cf52-1334-4f22-9653-60b003b227b2","Matrix Room Cleaning",NULL,"RC",30,"1",True,10,"0",2,False,True,"2022-08-29 03:16:47.475863+00","e9417d40-4119-4720-9986-a9f962fa198e","2023-12-13 01:42:52.496185+00","1f6ea446-bede-48f0-8d77-35345b315b2c",NULL,NULL,NULL,NULL,True,True,NULL
"679b1a26-1159-486a-9a0c-35dcbd540c61","2e76cf52-1334-4f22-9653-60b003b227b2","Carpet Shampoo",NULL,"CS",20,"1",False,0,"0",2,False,True,"2024-01-29 03:44:26.693226+00","7bdb9190-2fa7-48cb-9f13-58c789d7e64a","2024-01-29 03:44:26.693226+00","7bdb9190-2fa7-48cb-9f13-58c789d7e64a",NULL,NULL,NULL,NULL,False,False,NULL
"7d5b00d1-0b8a-47da-8e01-a61d42fba0cd","4498c15d-50c5-4cf5-879a-dd5d674e7228","Make Up Room Request",NULL,"MUR",60,"3",False,0,"0",2,False,True,"2022-07-26 01:44:13.807745+00","f21e770f-51f0-499f-a4b5-ac9dd3566ad5","2022-07-26 01:44:13.807745+00","f21e770f-51f0-499f-a4b5-ac9dd3566ad5",NULL,NULL,NULL,NULL,True,True,NULL
"951ca701-7565-4421-af7d-680ff0c11366","2e76cf52-1334-4f22-9653-60b003b227b2","Daily Room Cleaning",NULL,"C001",30,"3",True,10,"1",1,False,True,"2022-02-16 07:48:37.635113+00","80300926-d848-46ca-a7ba-7c9d17c9f382","2022-02-16 07:48:37.635113+00","80300926-d848-46ca-a7ba-7c9d17c9f382",True,"2022-08-26 10:17:34.405421+00","e9417d40-4119-4720-9986-a9f962fa198e",NULL,True,True,NULL
"7a5a6ac9-358f-490d-9c16-5ec83f1ea5a5","2e76cf52-1334-4f22-9653-60b003b227b2","Sanitization",NULL,"C003",15,"0",False,0,"0",3,False,True,"2022-02-16 07:49:01.527662+00","80300926-d848-46ca-a7ba-7c9d17c9f382","2022-02-16 07:49:01.527662+00","80300926-d848-46ca-a7ba-7c9d17c9f382",True,"2022-08-26 10:17:43.703743+00","e9417d40-4119-4720-9986-a9f962fa198e",NULL,True,True,NULL
"27b86528-5044-40bd-9a14-036e10321354","2e76cf52-1334-4f22-9653-60b003b227b2","Turndown",NULL,"C002",10,"1",False,0,"0",2,False,True,"2022-02-16 07:49:22.940742+00","80300926-d848-46ca-a7ba-7c9d17c9f382","2022-02-16 07:49:22.940742+00","80300926-d848-46ca-a7ba-7c9d17c9f382",True,"2022-08-26 10:17:47.295435+00","e9417d40-4119-4720-9986-a9f962fa198e",NULL,True,True,NULL
"10fec585-329e-46ac-88cd-feeb9548f348","2e76cf52-1334-4f22-9653-60b003b227b2","Windows Cleaning",NULL,"C004",15,"1",False,0,"0",3,False,True,"2022-02-16 07:49:44.904223+00","80300926-d848-46ca-a7ba-7c9d17c9f382","2022-02-16 07:49:44.904223+00","80300926-d848-46ca-a7ba-7c9d17c9f382",True,"2022-08-26 10:17:54.570719+00","e9417d40-4119-4720-9986-a9f962fa198e",NULL,True,True,NULL
"4aeb646d-f70f-4112-ad8c-250b0d3c7691","4498c15d-50c5-4cf5-879a-dd5d674e7228","Matrix Room Cleaning",NULL,"RC",30,"1",True,10,"0",2,False,True,"2022-08-29 02:03:19.67836+00","e9417d40-4119-4720-9986-a9f962fa198e","2022-08-29 02:03:19.67836+00","e9417d40-4119-4720-9986-a9f962fa198e",NULL,NULL,NULL,NULL,True,True,NULL
"2b66094a-f744-475f-894a-e85fd92865d4","2e76cf52-1334-4f22-9653-60b003b227b2","Physical Check",NULL,"PC",5,"0",False,0,"0",2,False,True,"2024-12-03 10:24:49.131+00","6695a327-ff2f-499d-af36-3962d2cfe1c5","2024-12-03 10:43:43.349123+00","6695a327-ff2f-499d-af36-3962d2cfe1c5",NULL,NULL,NULL,NULL,False,True,NULL
"3941c4c7-b3e0-4b19-aafb-403ada4c7b95","2e76cf52-1334-4f22-9653-60b003b227b2","Make Up Room Request",NULL,"MU",30,"1",True,10,"0",2,False,True,"2022-08-29 03:17:23.152962+00","e9417d40-4119-4720-9986-a9f962fa198e","2022-08-29 03:17:23.152962+00","e9417d40-4119-4720-9986-a9f962fa198e",NULL,NULL,NULL,NULL,True,True,NULL
"8a30f028-ee06-4b54-bf6a-9a6b941e4b84","2e76cf52-1334-4f22-9653-60b003b227b2","Turn Down",NULL,"TD",10,"0",False,0,"0",2,False,True,"2022-09-14 06:47:59.412208+00","7bdb9190-2fa7-48cb-9f13-58c789d7e64a","2022-09-14 06:47:59.412208+00","7bdb9190-2fa7-48cb-9f13-58c789d7e64a",NULL,NULL,NULL,NULL,True,True,NULL
"06a295fd-f0b4-4477-94fd-bc432e1614b6","4498c15d-50c5-4cf5-879a-dd5d674e7228","Engineering Order Touch Up","","ETU",30,"0",True,30,"0",2,False,True,"2022-11-28 15:07:54.943451+00","a83aa695-9486-4327-b0ee-3ffb2c27911d","2022-11-28 15:07:54.943451+00","a83aa695-9486-4327-b0ee-3ffb2c27911d",NULL,NULL,NULL,NULL,True,True,NULL
"abe39f93-53ef-4064-8142-c0c09c4e5265","2e76cf52-1334-4f22-9653-60b003b227b2","Engineering Order Touch Up","","ETU",30,"0",True,30,"0",2,False,True,"2022-11-28 15:07:54.943451+00","a83aa695-9486-4327-b0ee-3ffb2c27911d","2022-11-28 15:07:54.943451+00","a83aa695-9486-4327-b0ee-3ffb2c27911d",NULL,NULL,NULL,NULL,True,True,NULL
